Quantify Compound Summary Report ,,,,,,,,,,,,,
,,,,,,,,,,,,,
Printed Thu Aug 07 17:41:28 2025,,,,,,,,,,,,,
,,,,,,,,,,,,,
Compound 1:  17-Hydroxyprogesterone,,,,,,,,,,,,,
,,,,,,,,,,,,,
,#,Name,Sample Text,ID,Std. Conc,RT,Area,IS Area,Response,Conc.,%Dev,Type,Primary Flags
19,19,20250802-hormore-59,1092,1092,,6.12,16966,32806,0.517,0.132,,,bb
20,20,20250802-hormore-60,1093,1093,,6.12,54990,28394,1.94,0.504,,,bb
21,21,20250802-hormore-61,1094,1094,,6.11,19961,37332,0.535,0.137,,,bb
22,22,20250802-hormore-62,1095,1095,,6.12,19985,30276,0.66,0.169,,,bb
23,23,20250802-hormore-63,1096,1096,,6.12,49789,36690,1.36,0.352,,,bb
24,24,20250802-hormore-64,1097,1097,,6.12,15765,38274,0.412,0.104,,,bb
25,25,20250803-hormore-1,1098,1098,,6.12,64045,28204,2.27,0.592,,,bb
26,26,20250803-hormore-2,1099,1099,,6.12,40222,37205,1.08,0.28,,,bb
27,27,20250803-hormore-3,1100,1100,,6.12,57077,38372,1.49,0.387,,,bb
28,28,20250803-hormore-4,1102,1102,,6.12,60084,43966,1.37,0.355,,,bb
29,29,20250803-hormore-5,1105,1105,,6.12,69980,35763,1.96,0.51,,,bb
30,30,20250803-hormore-6,1106,1106,,6.12,49692,40395,1.23,0.319,,,bb
31,31,20250803-hormore-7,1107,1107,,6.12,59368,30030,1.98,0.515,,,bb
32,32,20250803-hormore-8,1108,1108,,6.12,158142,40748,3.88,1.015,,,bb
33,33,20250803-hormore-9,1109,1109,,6.12,42724,44357,0.963,0.249,,,bb
34,34,20250803-hormore-10,1111,1111,,6.12,59509,41461,1.44,0.373,,,bb
35,35,20250803-hormore-11,1112,1112,,6.12,12160,38780,0.314,0.079,,,bb
36,36,20250803-hormore-12,1113,1113,,6.12,191073,30874,6.19,1.62,,,bb
37,37,20250803-hormore-13,1116,1116,,6.12,86301,33420,2.58,0.674,,,bb
38,38,20250803-hormore-14,1118,1118,,6.12,53232,32679,1.63,0.424,,,bb
39,39,20250803-hormore-15,1124,1124,,6.12,4948,38980,0.127,0.03,,,bb
40,40,20250803-hormore-16,1125,1125,,6.12,48866,32654,1.5,0.389,,,bb
41,41,20250803-hormore-17,1134,1134,,6.12,68467,47336,1.45,0.376,,,bb
42,42,20250803-hormore-18,1135,1135,,6.12,27834,39874,0.698,0.179,,,bb
43,43,20250804-hormore-1,1137,1137,,6.12,46963,37941,1.24,0.321,,,bb
44,44,20250804-hormore-2,1138,1138,,6.12,34505,38640,0.893,0.231,,,bb
45,45,20250804-hormore-3,1141,1141,,6.12,10342,40624,0.255,0.063,,,bb
46,46,20250804-hormore-4,1142,1142,,6.12,155794,29230,5.33,1.395,,,bb
47,47,20250804-hormore-5,1143,1143,,6.12,46683,34940,1.34,0.347,,,bb
48,48,20250804-hormore-6,1144,1144,,6.12,84368,38583,2.19,0.57,,,bb
49,49,20250804-hormore-7,1146,1146,,6.11,58845,46107,1.28,0.331,,,bb
50,50,20250804-hormore-8,1038,1038,,6.1,330723,38722,8.54,2.238,,,bb
51,51,20250804-hormore-9,1149,1149,,6.12,16717,35093,0.476,0.121,,,bb
52,52,20250804-hormore-10,1154,1154,,6.11,21460,37447,0.573,0.147,,,bb
53,53,20250804-hormore-11,1156,1156,,6.11,56538,45764,1.24,0.32,,,bb
54,54,20250804-hormore-12,1162,1162,,6.12,127538,41943,3.04,0.794,,,bb
55,55,20250804-hormore-13,1165,1165,,6.11,983,36666,0.0268,0.003,,,bb
56,56,20250804-hormore-14,1166,1166,,6.12,30132,43591,0.691,0.178,,,bb
57,57,20250804-hormore-15,1167,1167,,6.11,47684,45194,1.06,0.273,,,bb
58,58,20250804-hormore-16,1168,1168,,6.12,42254,40137,1.05,0.273,,,bb
59,59,20250804-hormore-17,1169,1169,,6.12,38154,35537,1.07,0.278,,,bb
60,60,20250804-hormore-18,1170,1170,,6.11,13156,33635,0.391,0.099,,,bb
61,61,20250804-hormore-19,1172,1172,,6.12,39919,41861,0.954,0.247,,,bb
62,62,20250804-hormore-20,1173,1173,,6.12,27953,41991,0.666,0.171,,,bb
63,63,20250804-hormore-21,1175,1175,,6.11,32782,36136,0.907,0.234,,,bb
64,64,20250804-hormore-22,1177,1177,,6.11,20678,45047,0.459,0.117,,,bb
65,65,20250804-hormore-23,1178,1178,,6.12,169415,37044,4.57,1.196,,,bb
66,66,20250804-hormore-24,1180,1180,,6.11,34780,42479,0.819,0.211,,,bb
67,67,20250804-hormore-25,1181,1181,,6.11,30174,33176,0.91,0.235,,,bb
68,68,20250804-hormore-26,1182,1182,,6.11,91458,39998,2.29,0.596,,,bb
69,69,20250804-hormore-27,1185,1185,,6.1,74516,37804,1.97,0.514,,,bb
70,70,20250804-hormore-28,1188,1188,,6.1,18301,40456,0.452,0.115,,,bb
71,71,20250804-hormore-29,1189,1189,,6.11,49137,31658,1.55,0.404,,,bb
72,72,20250804-hormore-30,1190,1190,,6.11,142080,44616,3.18,0.832,,,bb
73,73,20250804-hormore-31,1195,1195,,6.11,28947,33791,0.857,0.221,,,bb
74,74,20250804-hormore-32,1196,1196,,6.12,12826,29059,0.441,0.112,,,bb
75,75,20250804-hormore-33,1202,1202,,6.11,101878,42819,2.38,0.621,,,bb
76,76,20250804-hormore-34,1205,1205,,6.12,8850,30808,0.287,0.072,,,bb
77,77,20250804-hormore-35,1206,1206,,6.11,18321,35027,0.523,0.134,,,bb
78,78,20250804-hormore-36,1207,1207,,6.11,21081,33589,0.628,0.161,,,bb
79,79,20250804-hormore-37,1208,1208,,6.11,16321,49067,0.333,0.084,,,bb
80,80,20250804-hormore-38,1209,1209,,6.11,32057,34034,0.942,0.243,,,bb
81,81,20250804-hormore-39,1210,1210,,6.11,131738,37111,3.55,0.928,,,bb
82,82,20250804-hormore-40,1212,1212,,6.1,15866,41230,0.385,0.097,,,bb
83,83,20250804-hormore-41,1214,1214,,6.11,17329,29534,0.587,0.15,,,bb
84,84,20250804-hormore-42,1216,1216,,6.11,47743,43999,1.09,0.281,,,bb
85,85,20250804-hormore-43,1217,1217,,6.11,54708,31686,1.73,0.449,,,bb
86,86,20250804-hormore-44,1218,1218,,6.11,132444,28110,4.71,1.233,,,bb
87,87,20250804-hormore-45,1221,1221,,6.1,4782,29880,0.16,0.038,,,bb
88,88,20250805-hormore-1,1222,1222,,6.1,20819,34372,0.606,0.155,,,bb
89,89,20250805-hormore-2,1223,1223,,6.11,33590,40327,0.833,0.215,,,bb
90,90,20250805-hormore-3,1224,1224,,6.11,30027,28588,1.05,0.272,,,bb
91,91,20250805-hormore-4,1226,1226,,6.11,38605,39206,0.985,0.255,,,bb
92,92,20250805-hormore-5,1227,1227,,6.1,25743,36578,0.704,0.181,,,bb
93,93,20250805-hormore-6,1228,1228,,6.11,30809,36655,0.841,0.217,,,bb
94,94,20250805-hormore-7,1231,1231,,6.1,36493,32724,1.12,0.289,,,bb
95,95,20250804-hormore-8,1038,1038,,6.1,330723,38722,8.54,2.238,,,bb
,,,,,,,,,,,,,
Compound 2:  11-Deoxycortisol,,,,,,,,,,,,,
,,,,,,,,,,,,,
,#,Name,Sample Text,ID,Std. Conc,RT,Area,IS Area,Response,Conc.,%Dev,Type,Primary Flags
1,1,20250805-COL-04,s1,s1,0.01,4.97,2587,79075,0.0327,0.01,-3.1,Standard,bb
2,2,20250805-COL-05,s2,s2,0.02,4.96,6833,99401,0.0687,0.021,5.5,Standard,bb
3,3,20250805-COL-06,s3,s3,0.11,4.96,35721,99353,0.36,0.113,2.9,Standard,bb
4,4,20250805-COL-07,s4,s4,0.44,4.96,152409,103186,1.48,0.467,6.1,Standard,bb
5,5,20250805-COL-08,s5,s5,2.22,4.96,713629,104903,6.8,2.153,-3,Standard,bb
6,6,20250805-COL-09,s6,s6,4.44,4.96,1379008,99198,13.9,4.401,-0.9,Standard,bb
7,7,20250805-COL-10,s7,s7,11.11,4.96,3063198,94355,32.5,10.278,-7.5,Standard,bb
8,8,20250805-COL-11,q1,q1,0.04,4.96,12809,109671,0.117,0.036,-9.2,QC,bb
9,9,20250805-COL-12,q2,q2,8.33,4.96,2268858,93167,24.4,7.71,-7.4,QC,bb
10,10,20250802-hormore-50,1075,1075,,4.97,187,285,0.657,0.207,,,bb
11,11,20250802-hormore-51,1076,1076,,4.95,1562,693,2.25,0.712,,,bb
12,12,20250802-hormore-52,1077,1077,,4.96,5424,2101,2.58,0.817,,,bb
13,13,20250802-hormore-53,1079,1079,,4.95,609,1312,0.464,0.146,,,bb
14,14,20250802-hormore-54,1080,1080,,4.96,1659,3284,0.505,0.159,,,bb
15,15,20250802-hormore-55,1083,1083,,4.95,7837,6188,1.27,0.4,,,bb
16,16,20250802-hormore-56,1084,1084,,4.95,15869,14533,1.09,0.345,,,bb
17,17,20250802-hormore-57,1087,1087,,4.95,35685,22384,1.59,0.504,,,bb
18,18,20250802-hormore-58,1090,1090,,4.95,19191,11736,1.64,0.517,,,bb
19,19,20250802-hormore-59,1092,1092,,4.95,6934,5268,1.32,0.416,,,bb
20,20,20250802-hormore-60,1093,1093,,4.96,5250,3577,1.47,0.464,,,bb
21,21,20250802-hormore-61,1094,1094,,4.95,13845,7719,1.79,0.567,,,bb
22,22,20250802-hormore-62,1095,1095,,4.95,6303,5787,1.09,0.344,,,bb
23,23,20250802-hormore-63,1096,1096,,4.95,28780,12488,2.3,0.729,,,bb
24,24,20250802-hormore-64,1097,1097,,4.95,9334,6533,1.43,0.452,,,bb
25,25,20250803-hormore-1,1098,1098,,4.95,34700,13815,2.51,0.795,,,bb
26,26,20250803-hormore-2,1099,1099,,4.95,19045,9432,2.02,0.639,,,bb
27,27,20250803-hormore-3,1100,1100,,4.94,13852,23807,0.582,0.184,,,bb
28,28,20250803-hormore-4,1102,1102,,4.95,48413,20362,2.38,0.752,,,bb
29,29,20250803-hormore-5,1105,1105,,4.94,6352,8832,0.719,0.227,,,bb
30,30,20250803-hormore-6,1106,1106,,4.95,23362,17678,1.32,0.418,,,bb
31,31,20250803-hormore-7,1107,1107,,4.95,50242,17924,2.8,0.887,,,bb
32,32,20250803-hormore-8,1108,1108,,4.95,45415,12538,3.62,1.146,,,bb
33,33,20250803-hormore-9,1109,1109,,4.95,29498,23589,1.25,0.395,,,bb
34,34,20250803-hormore-10,1111,1111,,4.95,27758,31980,0.868,0.274,,,bb
35,35,20250803-hormore-11,1112,1112,,4.95,4315,4576,0.943,0.298,,,bb
36,36,20250803-hormore-12,1113,1113,,4.95,74813,9839,7.6,2.407,,,bb
37,37,20250803-hormore-13,1116,1116,,4.95,18526,7083,2.62,0.827,,,bb
38,38,20250803-hormore-14,1118,1118,,4.95,5699,5939,0.96,0.303,,,bb
39,39,20250803-hormore-15,1124,1124,,4.94,2670,14394,0.185,0.058,,,bb
40,40,20250803-hormore-16,1125,1125,,4.95,69616,30487,2.28,0.722,,,bb
41,41,20250803-hormore-17,1134,1134,,4.95,33983,21827,1.56,0.492,,,bb
42,42,20250803-hormore-18,1135,1135,,4.95,8041,9595,0.838,0.265,,,bb
43,43,20250804-hormore-1,1137,1137,,4.95,17152,11942,1.44,0.454,,,bb
44,44,20250804-hormore-2,1138,1138,,4.94,24892,14046,1.77,0.56,,,bb
45,45,20250804-hormore-3,1141,1141,,4.95,4150,10258,0.405,0.127,,,bb
46,46,20250804-hormore-4,1142,1142,,4.94,37554,10576,3.55,1.124,,,bb
47,47,20250804-hormore-5,1143,1143,,4.95,12176,6921,1.76,0.556,,,bb
48,48,20250804-hormore-6,1144,1144,,4.95,6735,6609,1.02,0.322,,,bb
49,49,20250804-hormore-7,1146,1146,,4.94,13690,37219,0.368,0.116,,,bb
50,50,20250804-hormore-8,1038,1038,,4.93,2832457,6050,468,148.233,,,bb
51,51,20250804-hormore-9,1149,1149,,4.95,4596,11602,0.396,0.125,,,bb
52,52,20250804-hormore-10,1154,1154,,4.95,6257,12025,0.52,0.164,,,bb
53,53,20250804-hormore-11,1156,1156,,4.94,34449,25054,1.37,0.435,,,bb
54,54,20250804-hormore-12,1162,1162,,4.94,22167,18181,1.22,0.385,,,bb
55,55,20250804-hormore-13,1165,1165,,4.94,10628,15965,0.666,0.21,,,bb
56,56,20250804-hormore-14,1166,1166,,4.94,11668,9953,1.17,0.371,,,bb
57,57,20250804-hormore-15,1167,1167,,4.94,44909,28926,1.55,0.491,,,bb
58,58,20250804-hormore-16,1168,1168,,4.95,13487,5280,2.55,0.808,,,bb
59,59,20250804-hormore-17,1169,1169,,4.94,40414,15907,2.54,0.804,,,bb
60,60,20250804-hormore-18,1170,1170,,4.94,3902,7133,0.547,0.173,,,bb
61,61,20250804-hormore-19,1172,1172,,4.94,16328,7284,2.24,0.709,,,bb
62,62,20250804-hormore-20,1173,1173,,4.95,10190,13863,0.735,0.232,,,bb
63,63,20250804-hormore-21,1175,1175,,4.94,36428,18886,1.93,0.61,,,bb
64,64,20250804-hormore-22,1177,1177,,4.94,10867,14530,0.748,0.236,,,bb
65,65,20250804-hormore-23,1178,1178,,4.94,116439,17418,6.68,2.116,,,bb
66,66,20250804-hormore-24,1180,1180,,4.94,8382,14871,0.564,0.178,,,bb
67,67,20250804-hormore-25,1181,1181,,4.94,5800,10385,0.558,0.176,,,bb
68,68,20250804-hormore-26,1182,1182,,4.94,32043,5084,6.3,1.995,,,bb
69,69,20250804-hormore-27,1185,1185,,4.93,105974,24655,4.3,1.36,,,bb
70,70,20250804-hormore-28,1188,1188,,4.94,11993,8071,1.49,0.47,,,bb
71,71,20250804-hormore-29,1189,1189,,4.94,31149,5495,5.67,1.794,,,bb
72,72,20250804-hormore-30,1190,1190,,4.94,172004,16111,10.7,3.38,,,MM
73,73,20250804-hormore-31,1195,1195,,4.94,18648,8042,2.32,0.734,,,bb
74,74,20250804-hormore-32,1196,1196,,4.94,6860,12370,0.555,0.175,,,bb
75,75,20250804-hormore-33,1202,1202,,4.94,4770,10224,0.467,0.147,,,bb
76,76,20250804-hormore-34,1205,1205,,4.94,2834,14258,0.199,0.062,,,bb
77,77,20250804-hormore-35,1206,1206,,4.94,19067,14159,1.35,0.426,,,bb
78,78,20250804-hormore-36,1207,1207,,4.94,10740,7003,1.53,0.485,,,bb
79,79,20250804-hormore-37,1208,1208,,4.93,15668,22323,0.702,0.222,,,bb
80,80,20250804-hormore-38,1209,1209,,4.94,5813,12760,0.456,0.144,,,bb
81,81,20250804-hormore-39,1210,1210,,4.94,87119,20453,4.26,1.348,,,bb
82,82,20250804-hormore-40,1212,1212,,4.94,31845,19231,1.66,0.524,,,bb
83,83,20250804-hormore-41,1214,1214,,4.93,5530,5255,1.05,0.332,,,bb
84,84,20250804-hormore-42,1216,1216,,4.94,26256,16766,1.57,0.495,,,bb
85,85,20250804-hormore-43,1217,1217,,4.94,19619,5253,3.73,1.182,,,bb
86,86,20250804-hormore-44,1218,1218,,4.93,6685,12425,0.538,0.17,,,bb
87,87,20250804-hormore-45,1221,1221,,4.93,9026,21721,0.416,0.131,,,bb
88,88,20250805-hormore-1,1222,1222,,4.93,9342,5573,1.68,0.53,,,bb
89,89,20250805-hormore-2,1223,1223,,4.93,27711,14349,1.93,0.611,,,bb
90,90,20250805-hormore-3,1224,1224,,4.93,21584,6670,3.24,1.024,,,bb
91,91,20250805-hormore-4,1226,1226,,4.93,10423,6733,1.55,0.49,,,bb
92,92,20250805-hormore-5,1227,1227,,4.93,15792,7172,2.2,0.696,,,bb
93,93,20250805-hormore-6,1228,1228,,4.93,14011,7497,1.87,0.591,,,bb
94,94,20250805-hormore-7,1231,1231,,4.93,50225,9459,5.31,1.68,,,bb
95,95,20250804-hormore-8,1038,1038,,4.93,2832457,6050,468,148.233,,,bb
,,,,,,,,,,,,,
Compound 3:  Corticosterone,,,,,,,,,,,,,
,,,,,,,,,,,,,
,#,Name,Sample Text,ID,Std. Conc,RT,Area,IS Area,Response,Conc.,%Dev,Type,Primary Flags
1,1,20250805-COL-04,s1,s1,0.05,4.77,4796,19129,0.251,0.048,-5,Standard,MM
2,2,20250805-COL-05,s2,s2,0.11,4.76,12159,23468,0.518,0.121,9.9,Standard,bb
3,3,20250805-COL-06,s3,s3,0.53,4.76,50721,24543,2.07,0.546,2.9,Standard,bb
4,4,20250805-COL-07,s4,s4,2.11,4.76,198720,23476,8.46,2.3,9,Standard,bb
5,5,20250805-COL-08,s5,s5,10.53,4.76,854589,22217,38.5,10.529,0,Standard,bb
6,6,20250805-COL-09,s6,s6,21.05,4.76,1304297,17629,74,20.27,-3.7,Standard,bb
7,7,20250805-COL-10,s7,s7,52.63,4.76,2501860,15007,167,45.703,-13.2,Standard,bb
8,8,20250805-COL-11,q1,q1,0.18,4.77,19196,25799,0.744,0.183,1.6,QC,bb
9,9,20250805-COL-12,q2,q2,39.47,4.76,2020635,15947,127,34.731,-12,QC,bb
10,10,20250802-hormore-50,1075,1075,,4.75,39,43,0.911,0.229,,,bb
11,11,20250802-hormore-51,1076,1076,,4.77,615,171,3.59,0.964,,,bb
12,12,20250802-hormore-52,1077,1077,,4.76,1291,842,1.53,0.399,,,bb
13,13,20250802-hormore-53,1079,1079,,4.76,784,620,1.26,0.326,,,bb
14,14,20250802-hormore-54,1080,1080,,4.76,2262,1678,1.35,0.348,,,bb
15,15,20250802-hormore-55,1083,1083,,4.76,3356,2769,1.21,0.311,,,bb
16,16,20250802-hormore-56,1084,1084,,4.75,7112,6314,1.13,0.288,,,bb
17,17,20250802-hormore-57,1087,1087,,4.75,4451,3283,1.36,0.351,,,bb
18,18,20250802-hormore-58,1090,1090,,4.76,10385,5757,1.8,0.473,,,bb
19,19,20250802-hormore-59,1092,1092,,4.76,5189,2836,1.83,0.481,,,bb
20,20,20250802-hormore-60,1093,1093,,4.76,824,1575,0.523,0.122,,,bb
21,21,20250802-hormore-61,1094,1094,,4.75,3799,4135,0.919,0.231,,,bb
22,22,20250802-hormore-62,1095,1095,,4.75,2835,2854,0.993,0.251,,,bb
23,23,20250802-hormore-63,1096,1096,,4.76,10775,4760,2.26,0.6,,,bb
24,24,20250802-hormore-64,1097,1097,,4.76,2301,3495,0.658,0.159,,,bb
25,25,20250803-hormore-1,1098,1098,,4.75,14054,6209,2.26,0.6,,,bb
26,26,20250803-hormore-2,1099,1099,,4.75,10437,4683,2.23,0.59,,,bb
27,27,20250803-hormore-3,1100,1100,,4.75,21310,8531,2.5,0.664,,,bb
28,28,20250803-hormore-4,1102,1102,,4.75,13709,10101,1.36,0.351,,,bb
29,29,20250803-hormore-5,1105,1105,,4.75,881,4277,0.206,0.035,,,bb
30,30,20250803-hormore-6,1106,1106,,4.76,19008,7863,2.42,0.642,,,bb
31,31,20250803-hormore-7,1107,1107,,4.76,32816,7916,4.15,1.116,,,bb
32,32,20250803-hormore-8,1108,1108,,4.75,11820,5494,2.15,0.569,,,bb
33,33,20250803-hormore-9,1109,1109,,4.75,17065,9300,1.83,0.482,,,bb
34,34,20250803-hormore-10,1111,1111,,4.76,8810,10893,0.809,0.201,,,bb
35,35,20250803-hormore-11,1112,1112,,4.75,3625,2395,1.51,0.394,,,bb
36,36,20250803-hormore-12,1113,1113,,4.75,23885,5493,4.35,1.171,,,bb
37,37,20250803-hormore-13,1116,1116,,4.75,7989,3894,2.05,0.541,,,bb
38,38,20250803-hormore-14,1118,1118,,4.75,6866,3221,2.13,0.563,,,bb
39,39,20250803-hormore-15,1124,1124,,4.76,2354,5840,0.403,0.089,,,bb
40,40,20250803-hormore-16,1125,1125,,4.75,66394,10092,6.58,1.783,,,bb
41,41,20250803-hormore-17,1134,1134,,4.76,68132,8899,7.66,2.079,,,bb
42,42,20250803-hormore-18,1135,1135,,4.76,3958,5018,0.789,0.195,,,bb
43,43,20250804-hormore-1,1137,1137,,4.76,21195,6128,3.46,0.927,,,bb
44,44,20250804-hormore-2,1138,1138,,4.75,14362,6667,2.15,0.57,,,bb
45,45,20250804-hormore-3,1141,1141,,4.75,4514,5513,0.819,0.203,,,bb
46,46,20250804-hormore-4,1142,1142,,4.75,34368,5585,6.15,1.666,,,bb
47,47,20250804-hormore-5,1143,1143,,4.75,10361,4027,2.57,0.684,,,bb
48,48,20250804-hormore-6,1144,1144,,4.75,5791,3125,1.85,0.487,,,bb
49,49,20250804-hormore-7,1146,1146,,4.74,15523,10972,1.41,0.367,,,bb
50,50,20250804-hormore-8,1038,1038,,4.75,2717,5102,0.533,0.125,,,MM
51,51,20250804-hormore-9,1149,1149,,4.75,2896,5472,0.529,0.124,,,bb
52,52,20250804-hormore-10,1154,1154,,4.75,6639,6654,0.998,0.252,,,bb
53,53,20250804-hormore-11,1156,1156,,4.74,9077,8808,1.03,0.261,,,bb
54,54,20250804-hormore-12,1162,1162,,4.75,29963,8232,3.64,0.977,,,bb
55,55,20250804-hormore-13,1165,1165,,4.74,2075,8189,0.253,0.048,,,bb
56,56,20250804-hormore-14,1166,1166,,4.74,6932,4812,1.44,0.374,,,bb
57,57,20250804-hormore-15,1167,1167,,4.74,10708,11112,0.964,0.243,,,bb
58,58,20250804-hormore-16,1168,1168,,4.75,1672,3131,0.534,0.125,,,bb
59,59,20250804-hormore-17,1169,1169,,4.75,24957,8297,3.01,0.804,,,bb
60,60,20250804-hormore-18,1170,1170,,4.73,1595,3485,0.458,0.104,,,bb
61,61,20250804-hormore-19,1172,1172,,4.74,7756,4229,1.83,0.482,,,bb
62,62,20250804-hormore-20,1173,1173,,4.75,3233,6949,0.465,0.106,,,bb
63,63,20250804-hormore-21,1175,1175,,4.75,23831,9022,2.64,0.703,,,bb
64,64,20250804-hormore-22,1177,1177,,4.74,19621,6608,2.97,0.793,,,bb
65,65,20250804-hormore-23,1178,1178,,4.75,80764,7443,10.9,2.955,,,bb
66,66,20250804-hormore-24,1180,1180,,4.74,9630,6775,1.42,0.369,,,bb
67,67,20250804-hormore-25,1181,1181,,4.75,3584,6936,0.517,0.12,,,bb
68,68,20250804-hormore-26,1182,1182,,4.75,17891,2642,6.77,1.836,,,bb
69,69,20250804-hormore-27,1185,1185,,4.74,123595,10742,11.5,3.134,,,bb
70,70,20250804-hormore-28,1188,1188,,4.75,5492,4570,1.2,0.308,,,bb
71,71,20250804-hormore-29,1189,1189,,4.75,11517,3508,3.28,0.879,,,bb
72,72,20250804-hormore-30,1190,1190,,4.75,15766,6859,2.3,0.609,,,bb
73,73,20250804-hormore-31,1195,1195,,4.74,8620,4630,1.86,0.489,,,bb
74,74,20250804-hormore-32,1196,1196,,4.75,4413,6154,0.717,0.175,,,bb
75,75,20250804-hormore-33,1202,1202,,4.75,1116,5722,0.195,0.032,,,bb
76,76,20250804-hormore-34,1205,1205,,4.74,2364,5828,0.406,0.09,,,bb
77,77,20250804-hormore-35,1206,1206,,4.74,11024,5493,2.01,0.529,,,bb
78,78,20250804-hormore-36,1207,1207,,4.74,4573,3854,1.19,0.304,,,bb
79,79,20250804-hormore-37,1208,1208,,4.74,14176,9499,1.49,0.388,,,bb
80,80,20250804-hormore-38,1209,1209,,4.75,2825,5630,0.502,0.116,,,bb
81,81,20250804-hormore-39,1210,1210,,4.75,22053,3743,5.89,1.595,,,bb
82,82,20250804-hormore-40,1212,1212,,4.73,12507,8673,1.44,0.374,,,bb
83,83,20250804-hormore-41,1214,1214,,4.74,1896,2628,0.722,0.177,,,bb
84,84,20250804-hormore-42,1216,1216,,4.74,13044,6855,1.9,0.501,,,bb
85,85,20250804-hormore-43,1217,1217,,4.74,3420,2150,1.59,0.415,,,bb
86,86,20250804-hormore-44,1218,1218,,4.76,5791,3694,1.57,0.409,,,bb
87,87,20250804-hormore-45,1221,1221,,4.73,2194,7786,0.282,0.056,,,bb
88,88,20250805-hormore-1,1222,1222,,4.75,2528,2563,0.987,0.249,,,bb
89,89,20250805-hormore-2,1223,1223,,4.73,12676,6742,1.88,0.494,,,bb
90,90,20250805-hormore-3,1224,1224,,4.73,25851,3603,7.18,1.947,,,bb
91,91,20250805-hormore-4,1226,1226,,4.74,6217,2987,2.08,0.55,,,bb
92,92,20250805-hormore-5,1227,1227,,4.74,6223,3704,1.68,0.44,,,bb
93,93,20250805-hormore-6,1228,1228,,4.75,5919,3695,1.6,0.418,,,bb
94,94,20250805-hormore-7,1231,1231,,4.74,16254,4685,3.47,0.93,,,bb
95,95,20250804-hormore-8,1038,1038,,4.75,2717,5102,0.533,0.125,,,MM
,,,,,,,,,,,,,
Compound 4:  21-Deoxycortisol,,,,,,,,,,,,,
,,,,,,,,,,,,,
,#,Name,Sample Text,ID,Std. Conc,RT,Area,IS Area,Response,Conc.,%Dev,Type,Primary Flags
1,1,20250805-COL-04,s1,s1,0.025,4.53,4618,79582,0.058,0.026,3.7,Standard,bb
2,2,20250805-COL-05,s2,s2,0.05,4.52,10299,98309,0.105,0.047,-6.5,Standard,bb
3,3,20250805-COL-06,s3,s3,0.125,4.52,27771,100814,0.275,0.123,-1.8,Standard,bb
4,4,20250805-COL-07,s4,s4,0.25,4.52,55262,100925,0.548,0.244,-2.4,Standard,bb
5,5,20250805-COL-08,s5,s5,1.25,4.52,307976,101068,3.05,1.358,8.6,Standard,bb
6,6,20250805-COL-09,s6,s6,6.25,4.52,1301133,91592,14.2,6.33,1.3,Standard,bb
7,7,20250805-COL-10,s7,s7,12.5,4.52,2297352,84372,27.2,12.133,-2.9,Standard,bb
8,8,20250805-COL-11,q1,q1,0.087,4.52,20791,107122,0.194,0.087,-1.1,QC,bb
9,9,20250805-COL-12,q2,q2,9.375,4.52,1767121,83719,21.1,9.405,0.3,QC,bb
10,10,20250802-hormore-50,1075,1075,,,,64,,,,,
