Quantify Compound Summary Report ,,,,,,,,,,,,,
,,,,,,,,,,,,,
Printed Thu Aug 07 17:38:27 2025,,,,,,,,,,,,,
,,,,,,,,,,,,,
Compound 1:  Melatonin,,,,,,,,,,,,,
,,,,,,,,,,,,,
,#,Name,Sample Text,ID,Std. Conc,RT,Area,IS Area,Response,Conc.,%Dev,Type,Primary Flags
24,24,20250802-hormore-64,1097,1097,,1.69,1842,36892,0.0499,2.117,,,bb
25,25,20250803-hormore-1,1098,1098,,1.69,17444,33189,0.526,15.643,,,bb
26,26,20250803-hormore-2,1099,1099,,1.68,9723,35352,0.275,8.518,,,bb
27,27,20250803-hormore-3,1100,1100,,1.69,18060,33390,0.541,16.077,,,bb
28,28,20250803-hormore-4,1102,1102,,1.69,16193,34246,0.473,14.142,,,bb
29,29,20250803-hormore-5,1105,1105,,1.68,3543,33862,0.105,3.672,,,bb
30,30,20250803-hormore-6,1106,1106,,1.68,6249,30117,0.208,6.598,,,bb
31,31,20250803-hormore-7,1107,1107,,1.69,8507,31197,0.273,8.451,,,bb
32,32,20250803-hormore-8,1108,1108,,1.68,2424,31031,0.0781,2.919,,,bb
33,33,20250803-hormore-9,1109,1109,,1.68,10840,32140,0.337,10.288,,,bb
34,34,20250803-hormore-10,1111,1111,,1.69,9838,35167,0.28,8.652,,,bb
35,35,20250803-hormore-11,1112,1112,,1.68,16031,30707,0.522,15.542,,,bb
36,36,20250803-hormore-12,1113,1113,,1.68,3902,37787,0.103,3.634,,,bb
37,37,20250803-hormore-13,1116,1116,,1.69,7524,31645,0.238,7.458,,,bb
38,38,20250803-hormore-14,1118,1118,,1.68,4392,28078,0.156,5.145,,,bb
39,39,20250803-hormore-15,1124,1124,,1.68,2372,35083,0.0676,2.619,,,bb
40,40,20250803-hormore-16,1125,1125,,1.69,1218,31859,0.0382,1.785,,,bb
41,41,20250803-hormore-17,1134,1134,,1.69,557,32488,0.0171,1.185,,,bb
42,42,20250803-hormore-18,1135,1135,,1.69,3491,30728,0.114,3.927,,,bb
43,43,20250804-hormore-1,1137,1137,,1.69,17191,33662,0.511,15.219,,,bb
44,44,20250804-hormore-2,1138,1138,,1.69,1695,32160,0.0527,2.196,,,bb
45,45,20250804-hormore-3,1141,1141,,1.69,2677,30413,0.088,3.2,,,bb
46,46,20250804-hormore-4,1142,1142,,1.68,42875,32877,1.3,37.781,,,bb
47,47,20250804-hormore-5,1143,1143,,1.68,12763,34804,0.367,11.125,,,bb
48,48,20250804-hormore-6,1144,1144,,1.68,47220,33034,1.43,41.344,,,bb
49,49,20250804-hormore-7,1146,1146,,1.69,4144,30075,0.138,4.615,,,bb
50,50,20250804-hormore-8,1038,1038,,1.68,7144,31671,0.226,7.112,,,bb
51,51,20250804-hormore-9,1149,1149,,1.68,3566,29543,0.121,4.13,,,bb
52,52,20250804-hormore-10,1154,1154,,1.69,3947,31985,0.123,4.206,,,bb
53,53,20250804-hormore-11,1156,1156,,1.69,25278,32589,0.776,22.753,,,bb
54,54,20250804-hormore-12,1162,1162,,1.68,26099,38495,0.678,19.976,,,bb
55,55,20250804-hormore-13,1165,1165,,1.68,11303,33822,0.334,10.2,,,bb
56,56,20250804-hormore-14,1166,1166,,1.69,13373,33207,0.403,12.148,,,bb
57,57,20250804-hormore-15,1167,1167,,1.69,2273,32968,0.0689,2.657,,,bb
58,58,20250804-hormore-16,1168,1168,,1.68,20353,32025,0.636,18.769,,,bb
59,59,20250804-hormore-17,1169,1169,,1.69,2162,35349,0.0612,2.436,,,bb
60,60,20250804-hormore-18,1170,1170,,1.68,12670,34735,0.365,11.069,,,bb
61,61,20250804-hormore-19,1172,1172,,1.68,42744,32343,1.32,38.276,,,bb
62,62,20250804-hormore-20,1173,1173,,1.68,3682,32658,0.113,3.903,,,bb
63,63,20250804-hormore-21,1175,1175,,1.69,4717,36001,0.131,4.423,,,bb
64,64,20250804-hormore-22,1177,1177,,1.68,3720,33628,0.111,3.843,,,bb
65,65,20250804-hormore-23,1178,1178,,1.68,9722,35305,0.275,8.527,,,bb
66,66,20250804-hormore-24,1180,1180,,1.68,6492,35604,0.182,5.882,,,bb
67,67,20250804-hormore-25,1181,1181,,1.68,4784,31171,0.153,5.061,,,bb
68,68,20250804-hormore-26,1182,1182,,1.68,6196,30703,0.202,6.436,,,bb
69,69,20250804-hormore-27,1185,1185,,1.68,6073,32889,0.185,5.947,,,bb
70,70,20250804-hormore-28,1188,1188,,1.68,9953,33995,0.293,9.022,,,bb
71,71,20250804-hormore-29,1189,1189,,1.68,1875,29563,0.0634,2.501,,,bb
72,72,20250804-hormore-30,1190,1190,,1.68,15229,35588,0.428,12.865,,,bb
73,73,20250804-hormore-31,1195,1195,,1.69,4425,25359,0.174,5.659,,,bb
74,74,20250804-hormore-32,1196,1196,,1.69,4408,33084,0.133,4.485,,,bb
75,75,20250804-hormore-33,1202,1202,,1.69,2184,32880,0.0664,2.586,,,bb
76,76,20250804-hormore-34,1205,1205,,1.69,1206,31184,0.0387,1.797,,,bb
77,77,20250804-hormore-35,1206,1206,,1.67,906,32228,0.0281,1.497,,,bb
78,78,20250804-hormore-36,1207,1207,,1.68,842,32499,0.0259,1.434,,,MM
79,79,20250804-hormore-37,1208,1208,,1.68,2633,31772,0.0829,3.054,,,bb
80,80,20250804-hormore-38,1209,1209,,1.69,724,30968,0.0234,1.362,,,bb
81,81,20250804-hormore-39,1210,1210,,1.69,2406,31342,0.0768,2.88,,,bb
82,82,20250804-hormore-40,1212,1212,,1.68,770,32289,0.0238,1.375,,,bb
83,83,20250804-hormore-41,1214,1214,,1.68,775,31828,0.0244,1.39,,,bb
84,84,20250804-hormore-42,1216,1216,,1.67,921,32451,0.0284,1.504,,,bb
85,85,20250804-hormore-43,1217,1217,,1.68,2014,33397,0.0603,2.412,,,bb
86,86,20250804-hormore-44,1218,1218,,1.68,1798,28056,0.0641,2.519,,,bb
87,87,20250804-hormore-45,1221,1221,,1.68,3232,34839,0.0928,3.335,,,bb
88,88,20250805-hormore-1,1222,1222,,1.68,781,30047,0.026,1.436,,,bb
89,89,20250805-hormore-2,1223,1223,,1.68,1784,28542,0.0625,2.475,,,bb
90,90,20250805-hormore-3,1224,1224,,1.68,745,29276,0.0254,1.42,,,bb
91,91,20250805-hormore-4,1226,1226,,1.69,463,28800,0.0161,1.154,,,bb
92,92,20250805-hormore-5,1227,1227,,1.68,2329,31680,0.0735,2.788,,,bb
93,93,20250805-hormore-6,1228,1228,,1.69,1369,31533,0.0434,1.932,,,bb
94,94,20250805-hormore-7,1231,1231,,1.69,1428,30296,0.0471,2.038,,,bb
95,95,20250804-hormore-8,1038,1038,,1.68,7144,31671,0.226,7.112,,,bb
,,,,,,,,,,,,,
Compound 2:  DHEA,,,,,,,,,,,,,
,,,,,,,,,,,,,
,#,Name,Sample Text,ID,Std. Conc,RT,Area,IS Area,Response,Conc.,%Dev,Type,Primary Flags
1,1,20250805-COL-04,s1,s1,0.5,6.03,420,9424,0.0445,0.477,-4.7,Standard,MM
2,2,20250805-COL-05,s2,s2,1,6.02,1102,12428,0.0887,1.049,4.9,Standard,bb
3,3,20250805-COL-06,s3,s3,2.5,6.02,2463,11356,0.217,2.713,8.5,Standard,bb
4,4,20250805-COL-07,s4,s4,10,6.02,9497,10987,0.864,11.113,11.1,Standard,bb
5,5,20250805-COL-08,s5,s5,20,6.02,18117,11209,1.62,20.87,4.3,Standard,bb
6,6,20250805-COL-09,s6,s6,50,6.03,38288,11266,3.4,43.991,-12,Standard,bb
7,7,20250805-COL-10,s7,s7,100,6.02,75436,11142,6.77,87.74,-12.3,Standard,bb
8,8,20250805-COL-11,q1,q1,1.75,6.03,1663,11382,0.146,1.794,2.5,QC,bb
9,9,20250805-COL-12,q2,q2,75,6.02,47693,9616,4.96,64.248,-14.3,QC,bb
10,10,20250802-hormore-50,1075,1075,,6.01,229,1466,0.156,1.922,,,MM
11,11,20250802-hormore-51,1076,1076,,6,35,1347,0.026,0.236,,,bb
12,12,20250802-hormore-52,1077,1077,,6.02,518,2272,0.228,2.855,,,MM
13,13,20250802-hormore-53,1079,1079,,6.02,49,1883,0.026,0.236,,,MM
14,14,20250802-hormore-54,1080,1080,,6.01,501,2497,0.201,2.502,,,MM
15,15,20250802-hormore-55,1083,1083,,6.01,302,3590,0.0843,0.992,,,bb
16,16,20250802-hormore-56,1084,1084,,6.01,751,3563,0.211,2.633,,,MM
17,17,20250802-hormore-57,1087,1087,,6.02,409,2695,0.152,1.869,,,bb
18,18,20250802-hormore-58,1090,1090,,6.01,257,4682,0.0549,0.611,,,MM
19,19,20250802-hormore-59,1092,1092,,6.01,763,3047,0.25,3.149,,,MM
20,20,20250802-hormore-60,1093,1093,,6,264,2437,0.108,1.302,,,MM
21,21,20250802-hormore-61,1094,1094,,6.03,115,3718,0.031,0.302,,,MM
22,22,20250802-hormore-62,1095,1095,,6.01,585,3166,0.185,2.296,,,MM
23,23,20250802-hormore-63,1096,1096,,6.01,455,3388,0.134,1.64,,,bb
24,24,20250802-hormore-64,1097,1097,,6,242,3848,0.0629,0.715,,,MM
25,25,20250803-hormore-1,1098,1098,,6,215,3129,0.0687,0.79,,,bb
26,26,20250803-hormore-2,1099,1099,,6.04,819,3741,0.219,2.739,,,MM
27,27,20250803-hormore-3,1100,1100,,6.01,816,4514,0.181,2.245,,,MM
28,28,20250803-hormore-4,1102,1102,,6.02,186,5574,0.0334,0.332,,,MM
29,29,20250803-hormore-5,1105,1105,,5.98,411,3789,0.109,1.307,,,MM
30,30,20250803-hormore-6,1106,1106,,6.02,567,5361,0.106,1.271,,,MM
31,31,20250803-hormore-7,1107,1107,,6.01,151,2617,0.0577,0.648,,,bb
32,32,20250803-hormore-8,1108,1108,,6,38,4135,0.00922,0.019,,,MM
33,33,20250803-hormore-9,1109,1109,,6.01,344,6131,0.0561,0.627,,,bb
34,34,20250803-hormore-10,1111,1111,,5.99,47,5202,0.00898,0.016,,,bb
35,35,20250803-hormore-11,1112,1112,,6.02,74,3379,0.022,0.184,,,MM
36,36,20250803-hormore-12,1113,1113,,6,719,3846,0.187,2.323,,,bb
37,37,20250803-hormore-13,1116,1116,,5.99,102,4331,0.0236,0.206,,,bb
38,38,20250803-hormore-14,1118,1118,,6,1112,3500,0.318,4.02,,,MM
39,39,20250803-hormore-15,1124,1124,,5.99,485,4296,0.113,1.365,,,MM
40,40,20250803-hormore-16,1125,1125,,6,292,4490,0.0651,0.744,,,bb
41,41,20250803-hormore-17,1134,1134,,6.01,2964,6702,0.442,5.638,,,MM
42,42,20250803-hormore-18,1135,1135,,6.01,655,4017,0.163,2.015,,,MM
43,43,20250804-hormore-1,1137,1137,,6.01,704,5275,0.133,1.631,,,MM
44,44,20250804-hormore-2,1138,1138,,6.01,166,4009,0.0413,0.435,,,bb
45,45,20250804-hormore-3,1141,1141,,6,820,6429,0.128,1.554,,,MM
46,46,20250804-hormore-4,1142,1142,,6.01,1479,2916,0.507,6.479,,,MM
47,47,20250804-hormore-5,1143,1143,,6.06,1565,3192,0.49,6.261,,,MM
48,48,20250804-hormore-6,1144,1144,,6,752,4750,0.158,1.953,,,bb
49,49,20250804-hormore-7,1146,1146,,6.01,829,6444,0.129,1.568,,,MM
50,50,20250804-hormore-8,1038,1038,,5.99,1310,5443,0.241,3.021,,,MM
51,51,20250804-hormore-9,1149,1149,,6.06,1540,4001,0.385,4.893,,,bb
52,52,20250804-hormore-10,1154,1154,,6,214,3626,0.059,0.664,,,MM
53,53,20250804-hormore-11,1156,1156,,6.01,858,6962,0.123,1.498,,,bb
54,54,20250804-hormore-12,1162,1162,,6,728,5110,0.142,1.748,,,MM
55,55,20250804-hormore-13,1165,1165,,6,167,4135,0.0403,0.423,,,MM
56,56,20250804-hormore-14,1166,1166,,6,994,5040,0.197,2.458,,,MM
57,57,20250804-hormore-15,1167,1167,,6,473,5146,0.0919,1.091,,,MM
58,58,20250804-hormore-16,1168,1168,,6.01,868,4512,0.192,2.395,,,MM
59,59,20250804-hormore-17,1169,1169,,6,179,4210,0.0426,0.451,,,MM
60,60,20250804-hormore-18,1170,1170,,5.99,579,3616,0.16,1.977,,,MM
61,61,20250804-hormore-19,1172,1172,,6,100,5182,0.0192,0.148,,,bb
62,62,20250804-hormore-20,1173,1173,,6.07,741,5830,0.127,1.548,,,bb
63,63,20250804-hormore-21,1175,1175,,5.99,265,4116,0.0644,0.734,,,MM
64,64,20250804-hormore-22,1177,1177,,5.97,277,4394,0.0629,0.716,,,MM
65,65,20250804-hormore-23,1178,1178,,6,765,4633,0.165,2.042,,,MM
66,66,20250804-hormore-24,1180,1180,,6,492,6204,0.0794,0.929,,,MM
67,67,20250804-hormore-25,1181,1181,,6,578,3550,0.163,2.011,,,MM
68,68,20250804-hormore-26,1182,1182,,6,1557,4308,0.361,4.588,,,MM
69,69,20250804-hormore-27,1185,1185,,5.98,321,4112,0.078,0.912,,,MM
70,70,20250804-hormore-28,1188,1188,,6,619,4897,0.126,1.539,,,MM
71,71,20250804-hormore-29,1189,1189,,6,548,2546,0.215,2.689,,,MM
72,72,20250804-hormore-30,1190,1190,,6.06,1594,5462,0.292,3.686,,,bb
73,73,20250804-hormore-31,1195,1195,,5.99,189,3484,0.0543,0.604,,,MM
74,74,20250804-hormore-32,1196,1196,,5.99,292,3830,0.0762,0.888,,,MM
75,75,20250804-hormore-33,1202,1202,,5.98,868,6418,0.135,1.654,,,MM
76,76,20250804-hormore-34,1205,1205,,6.06,992,3268,0.304,3.838,,,bb
77,77,20250804-hormore-35,1206,1206,,5.99,181,3639,0.0498,0.546,,,MM
78,78,20250804-hormore-36,1207,1207,,6,715,3115,0.23,2.877,,,MM
79,79,20250804-hormore-37,1208,1208,,5.96,574,6094,0.0941,1.121,,,MM
80,80,20250804-hormore-38,1209,1209,,6,2003,5371,0.373,4.738,,,bb
81,81,20250804-hormore-39,1210,1210,,6.06,359,4857,0.074,0.859,,,bb
82,82,20250804-hormore-40,1212,1212,,5.99,138,5022,0.0274,0.255,,,MM
83,83,20250804-hormore-41,1214,1214,,5.98,324,3345,0.097,1.157,,,MM
84,84,20250804-hormore-42,1216,1216,,6.01,128,6722,0.0191,0.147,,,bb
85,85,20250804-hormore-43,1217,1217,,6,407,3559,0.114,1.384,,,bb
86,86,20250804-hormore-44,1218,1218,,5.99,467,3330,0.14,1.717,,,MM
87,87,20250804-hormore-45,1221,1221,,5.98,362,3172,0.114,1.38,,,bb
88,88,20250805-hormore-1,1222,1222,,6,457,4129,0.111,1.333,,,bb
89,89,20250805-hormore-2,1223,1223,,6,1086,4497,0.241,3.031,,,MM
90,90,20250805-hormore-3,1224,1224,,5.99,1235,2548,0.485,6.188,,,MM
91,91,20250805-hormore-4,1226,1226,,6,529,4664,0.113,1.371,,,MM
92,92,20250805-hormore-5,1227,1227,,6,446,3461,0.129,1.572,,,MM
93,93,20250805-hormore-6,1228,1228,,6.01,205,4381,0.0468,0.507,,,MM
94,94,20250805-hormore-7,1231,1231,,5.98,583,3270,0.178,2.211,,,MM
95,95,20250804-hormore-8,1038,1038,,5.99,1310,5443,0.241,3.021,,,MM
,,,,,,,,,,,,,
Compound 3:  Epiandrosterone,,,,,,,,,,,,,
,,,,,,,,,,,,,
,#,Name,Sample Text,ID,Std. Conc,RT,Area,IS Area,Response,Conc.,%Dev,Type,Primary Flags
1,1,20250805-COL-04,s1,s1,0.1,6.36,188,4921,0.0382,0.098,-1.7,Standard,MM
2,2,20250805-COL-05,s2,s2,0.2,6.36,459,6289,0.073,0.2,-0.1,Standard,bb
3,3,20250805-COL-06,s3,s3,0.5,6.36,1058,5605,0.189,0.537,7.3,Standard,bb
4,4,20250805-COL-07,s4,s4,2,6.36,4280,5913,0.724,2.093,4.7,Standard,bb
5,5,20250805-COL-08,s5,s5,4,6.36,9223,6209,1.49,4.308,7.7,Standard,bb
6,6,20250805-COL-09,s6,s6,10,6.36,22996,7388,3.11,9.041,-9.6,Standard,bb
7,7,20250805-COL-10,s7,s7,20,6.36,46668,7394,6.31,18.348,-8.3,Standard,bb
8,8,20250805-COL-11,q1,q1,0.35,6.37,887,6949,0.128,0.359,2.4,QC,MM
9,9,20250805-COL-12,q2,q2,15,6.36,31147,6075,5.13,14.9,-0.7,QC,bb
10,10,20250802-hormore-50,1075,1075,,6.41,153,4902,0.0313,0.078,,,MM
11,11,20250802-hormore-51,1076,1076,,6.39,63,7845,0.00797,0.011,,,bb
12,12,20250802-hormore-52,1077,1077,,6.39,307,5464,0.0563,0.151,,,MM
13,13,20250802-hormore-53,1079,1079,,6.38,398,7115,0.056,0.15,,,MM
14,14,20250802-hormore-54,1080,1080,,6.38,123,8771,0.0141,0.028,,,MM
15,15,20250802-hormore-55,1083,1083,,6.32,73,7977,0.00914,0.014,,,bb
16,16,20250802-hormore-56,1084,1084,,6.41,115,7551,0.0153,0.032,,,MM
17,17,20250802-hormore-57,1087,1087,,6.39,451,7315,0.0617,0.167,,,MM
18,18,20250802-hormore-58,1090,1090,,6.39,159,7220,0.022,0.051,,,MM
19,19,20250802-hormore-59,1092,1092,,6.38,54,7427,0.00722,0.008,,,bb
20,20,20250802-hormore-60,1093,1093,,6.38,92,8601,0.0107,0.019,,,bb
21,21,20250802-hormore-61,1094,1094,,6.38,258,4776,0.0541,0.145,,,MM
22,22,20250802-hormore-62,1095,1095,,6.39,233,9461,0.0246,0.059,,,bb
23,23,20250802-hormore-63,1096,1096,,6.33,151,5752,0.0263,0.064,,,MM
24,24,20250802-hormore-64,1097,1097,,6.37,292,5074,0.0575,0.155,,,bb
25,25,20250803-hormore-1,1098,1098,,6.37,59,7178,0.00823,0.011,,,MM
26,26,20250803-hormore-2,1099,1099,,6.37,546,5697,0.0959,0.266,,,MM
27,27,20250803-hormore-3,1100,1100,,6.41,185,5417,0.0341,0.087,,,bb
28,28,20250803-hormore-4,1102,1102,,6.32,80,7035,0.0114,0.02,,,MM
29,29,20250803-hormore-5,1105,1105,,6.37,63,6633,0.00949,0.015,,,bb
30,30,20250803-hormore-6,1106,1106,,6.39,159,11414,0.0139,0.028,,,bb
31,31,20250803-hormore-7,1107,1107,,6.37,422,6660,0.0634,0.172,,,bb
32,32,20250803-hormore-8,1108,1108,,6.37,46,9409,0.00486,0.001,,,bb
33,33,20250803-hormore-9,1109,1109,,6.37,167,7405,0.0225,0.053,,,MM
34,34,20250803-hormore-10,1111,1111,,6.39,91,7739,0.0117,0.021,,,MM
35,35,20250803-hormore-11,1112,1112,,6.37,44,5244,0.00843,0.012,,,bb
36,36,20250803-hormore-12,1113,1113,,6.38,431,9597,0.0449,0.118,,,bb
37,37,20250803-hormore-13,1116,1116,,6.37,322,7228,0.0445,0.117,,,bb
38,38,20250803-hormore-14,1118,1118,,6.35,94,8806,0.0107,0.018,,,MM
39,39,20250803-hormore-15,1124,1124,,6.39,367,6646,0.0553,0.148,,,bb
40,40,20250803-hormore-16,1125,1125,,6.37,1642,9632,0.17,0.483,,,MM
41,41,20250803-hormore-17,1134,1134,,6.4,613,9369,0.0654,0.178,,,bb
42,42,20250803-hormore-18,1135,1135,,6.35,135,7848,0.0172,0.037,,,MM
43,43,20250804-hormore-1,1137,1137,,6.36,306,19704,0.0155,0.032,,,bb
44,44,20250804-hormore-2,1138,1138,,6.37,546,11187,0.0488,0.129,,,bb
45,45,20250804-hormore-3,1141,1141,,6.36,898,9338,0.0961,0.267,,,bb
46,46,20250804-hormore-4,1142,1142,,6.36,1574,8541,0.184,0.523,,,MM
47,47,20250804-hormore-5,1143,1143,,6.37,825,9970,0.0827,0.228,,,bb
48,48,20250804-hormore-6,1144,1144,,6.36,503,7841,0.0641,0.174,,,bb
49,49,20250804-hormore-7,1146,1146,,6.38,82,8539,0.00965,0.015,,,MM
50,50,20250804-hormore-8,1038,1038,,6.32,36,7194,0.00495,0.002,,,MM
51,51,20250804-hormore-9,1149,1149,,6.37,288,9182,0.0313,0.078,,,bb
52,52,20250804-hormore-10,1154,1154,,6.36,202,8963,0.0226,0.053,,,bb
53,53,20250804-hormore-11,1156,1156,,6.32,809,7644,0.106,0.295,,,MM
54,54,20250804-hormore-12,1162,1162,,6.36,333,9584,0.0348,0.089,,,bb
55,55,20250804-hormore-13,1165,1165,,6.37,156,8613,0.0181,0.04,,,bb
56,56,20250804-hormore-14,1166,1166,,6.35,257,7681,0.0334,0.085,,,MM
57,57,20250804-hormore-15,1167,1167,,6.37,589,8261,0.0712,0.195,,,MM
58,58,20250804-hormore-16,1168,1168,,6.33,379,9034,0.0419,0.109,,,bb
59,59,20250804-hormore-17,1169,1169,,6.34,696,7069,0.0984,0.274,,,bb
60,60,20250804-hormore-18,1170,1170,,6.36,221,6767,0.0327,0.082,,,MM
61,61,20250804-hormore-19,1172,1172,,6.35,57,7716,0.00741,0.009,,,MM
62,62,20250804-hormore-20,1173,1173,,6.36,361,8866,0.0407,0.106,,,bb
63,63,20250804-hormore-21,1175,1175,,6.35,288,6661,0.0432,0.113,,,bb
64,64,20250804-hormore-22,1177,1177,,6.36,626,6627,0.0945,0.262,,,bb
65,65,20250804-hormore-23,1178,1178,,6.36,496,8049,0.0616,0.166,,,bb
66,66,20250804-hormore-24,1180,1180,,6.36,1031,8750,0.118,0.33,,,bb
67,67,20250804-hormore-25,1181,1181,,6.35,419,8880,0.0472,0.125,,,bb
68,68,20250804-hormore-26,1182,1182,,6.35,537,7148,0.0752,0.206,,,bb
69,69,20250804-hormore-27,1185,1185,,6.36,509,7398,0.0688,0.188,,,bb
70,70,20250804-hormore-28,1188,1188,,6.35,450,6257,0.0719,0.197,,,MM
71,71,20250804-hormore-29,1189,1189,,6.43,34,7539,0.00457,0.001,,,bb
72,72,20250804-hormore-30,1190,1190,,6.35,38,6159,0.00613,0.005,,,bb
73,73,20250804-hormore-31,1195,1195,,6.34,183,8653,0.0211,0.049,,,MM
74,74,20250804-hormore-32,1196,1196,,6.34,525,6506,0.0806,0.222,,,bb
75,75,20250804-hormore-33,1202,1202,,6.32,50,8937,0.00558,0.004,,,MM
76,76,20250804-hormore-34,1205,1205,,6.36,109,7873,0.0139,0.028,,,MM
77,77,20250804-hormore-35,1206,1206,,6.33,141,10571,0.0133,0.026,,,MM
78,78,20250804-hormore-36,1207,1207,,6.32,201,6592,0.0305,0.076,,,bb
79,79,20250804-hormore-37,1208,1208,,6.36,763,12685,0.0601,0.162,,,bb
80,80,20250804-hormore-38,1209,1209,,6.37,182,10781,0.0169,0.036,,,bb
81,81,20250804-hormore-39,1210,1210,,6.33,404,8942,0.0451,0.119,,,bb
82,82,20250804-hormore-40,1212,1212,,6.33,899,6998,0.128,0.361,,,bb
83,83,20250804-hormore-41,1214,1214,,6.33,61,6193,0.00979,0.016,,,MM
84,84,20250804-hormore-42,1216,1216,,6.35,381,8029,0.0475,0.125,,,bb
85,85,20250804-hormore-43,1217,1217,,6.31,149,9583,0.0156,0.033,,,MM
86,86,20250804-hormore-44,1218,1218,,6.31,54,7135,0.0076,0.009,,,MM
87,87,20250804-hormore-45,1221,1221,,6.35,735,7636,0.0962,0.267,,,bb
88,88,20250805-hormore-1,1222,1222,,6.33,335,12550,0.0267,0.065,,,bb
89,89,20250805-hormore-2,1223,1223,,6.33,64,6363,0.0101,0.017,,,MM
90,90,20250805-hormore-3,1224,1224,,6.34,85,7584,0.0112,0.02,,,MM
91,91,20250805-hormore-4,1226,1226,,6.35,631,9379,0.0673,0.183,,,MM
92,92,20250805-hormore-5,1227,1227,,6.33,44,6101,0.00728,0.008,,,MM
93,93,20250805-hormore-6,1228,1228,,6.34,395,5745,0.0687,0.187,,,MM
94,94,20250805-hormore-7,1231,1231,,6.33,422,7028,0.0601,0.162,,,bb
95,95,20250804-hormore-8,1038,1038,,6.32,36,7194,0.00495,0.002,,,MM
,,,,,,,,,,,,,
Compound 4:  Androsterone,,,,,,,,,,,,,
,,,,,,,,,,,,,
,#,Name,Sample Text,ID,Std. Conc,RT,Area,IS Area,Response,Conc.,%Dev,Type,Primary Flags
1,1,20250805-COL-04,s1,s1,0.1,7.19,553,25322,0.0218,0.095,-5.4,Standard,bb
2,2,20250805-COL-05,s2,s2,0.2,7.17,1390,27852,0.0499,0.217,8.5,Standard,bb
3,3,20250805-COL-06,s3,s3,0.5,7.17,3631,29281,0.124,0.54,8,Standard,bb
4,4,20250805-COL-07,s4,s4,2,7.17,13551,32075,0.422,1.841,-7.9,Standard,bb
5,5,20250805-COL-08,s5,s5,4,7.17,30981,34895,0.888,3.869,-3.3,Standard,bb
6,6,20250805-COL-09,s6,s6,10,7.17,78478,34603,2.27,9.885,-1.1,Standard,bb
7,7,20250805-COL-10,s7,s7,20,7.17,150323,32366,4.64,20.244,1.2,Standard,bb
8,8,20250805-COL-11,q1,q1,0.35,7.17,2461,32697,0.0753,0.328,-6.4,QC,bb
9,9,20250805-COL-12,q2,q2,15,7.18,97298,29411,3.31,14.419,-3.9,QC,bb
10,10,20250802-hormore-50,1075,1075,,7.18,185,11765,0.0158,0.068,,,bb
11,11,20250802-hormore-51,1076,1076,,,,13637,,,,,
12,12,20250802-hormore-52,1077,1077,,7.17,424,13289,0.0319,0.139,,,bb
13,13,20250802-hormore-53,1079,1079,,7.17,528,12197,0.0433,0.188,,,bb
